ID;Sire / DateIn;Dam / DateInEst;Sex / InType;ReproStat/  DateOut;Selected /  DateOutEst;Living /  OutType;BirthLoc;BProgram;BCountry;DOB;DOBest;DOD;DODest;Necr1;Necr2;Necr3;Location;LocalID;Social;Program;Country;Name;Transponder;Tag;Tattoo;Color;LitSize;No_Litters;Lit_List;UDFs;   
1;WILD;WILD;Male;Fertile;True;False;M DIABO;LatinAm;Brazil;19710101;Y;19870101; ;Other;;;RIO PRIM;29;;LatinAm;Brazil;;;;;;0;14;2 2 2 2 1 1 1 1 2 3 2 3 2 1;                                                           ;
MOVE: 1;19730101;Y;Capture;19870101; ;death  ;;;;;;;;;;;;;;;;;;;;;;;;;
2;WILD;WILD;Female;Fertile;True;False;M DIABO;LatinAm;Brazil;19710101;U;19790401; ;Other;;;RIO PRIM;30;;LatinAm;Brazil;;;;;;0;8;2 2 2 2 1 1 1 1;                                                                      ;
MOVE: 2;19731101; ;Capture;19790401; ;death  ;;;;;;;;;;;;;;;;;;;;;;;;;
3;WILD;WILD;Male;Fertile;True;False;M DIABO;LatinAm;Brazil;19710101;U;19850131; ;Other;;;RIO PRIM;31;;LatinAm;Brazil;;;;;;0;4;1 2 1 2;                                                                                ;
MOVE: 3;19731125; ;Capture;19850131; ;death  ;;;;;;;;;;;;;;;;;;;;;;;;;
4;WILD;WILD;Female;Fertile;True;False;M DIABO;LatinAm;Brazil;19731125;U;19900720; ;Other;;;RIO PRIM;32;;LatinAm;Brazil;;;;;;0;1;1;                                                                                    ;
MOVE: 4;19731125; ;Capture;19900720; ;death  ;;;;;;;;;;;;;;;;;;;;;;;;;
5;WILD;WILD;Male;Fertile;True;False;M DIABO;LatinAm;Brazil;19710101;U;19770830; ;Other;;;RIO PRIM;33;;LatinAm;Brazil;;;;;;0;3;2 2 2;                                                                                  ;
MOVE: 5;19731125; ;Capture;19770830; ;death  ;;;;;;;;;;;;;;;;;;;;;;;;;
6;WILD;WILD;Female;Fertile;True;False;M DIABO;LatinAm;Brazil;19710101;U;19880628; ;Other;;;RIO PRIM;34;;LatinAm;Brazil;;;;;;0;6;2 2 2 2 1 2;                                                                          ;
MOVE: 6;19731125; ;Capture;19880628; ;death  ;;;;;;;;;;;;;;;;;;;;;;;;;
7;WILD;WILD;Female;Fertile;True;False;M DIABO;LatinAm;Brazil;19731125;U;19740110; ;Other;;;RIO PRIM;35;;LatinAm;Brazil;;;;;;0;0;;                                                                                     ;
MOVE: 7;19731125; ;Capture;19740110; ;death  ;;;;;;;;;;;;;;;;;;;;;;;;;
8;1;2;Male;Fertile;True;False;RIO PRIM;LatinAm;Brazil;19740901; ;19800130; ;Other;;;RIO PRIM;53;;LatinAm;Brazil;;;;;;2;0;;                                                                                         ;
MOVE: 8;19740901; ;Birth  ;19800130; ;death  ;;;;;;;;;;;;;;;;;;;;;;;;;
9;1;2;Female;Fertile;True;False;RIO PRIM;LatinAm;Brazil;19740901; ;19870829; ;Other;;;RIO PRIM;54;;LatinAm;Brazil;;;;21;;2;0;;                                                                                     ;
MOVE: 9;19740901; ;Birth  ;19870829; ;death  ;;;;;;;;;;;;;;;;;;;;;;;;;
10;5;6;Male;Fertile;True;False;RIO PRIM;LatinAm;Brazil;19741006; ;19741006; ;Other;;;RIO PRIM;59;;LatinAm;Brazil;;;;;;2;0;;                                                                                         ;
MOVE: 10;19741006; ;Birth  ;19741006; ;death  ;;;;;;;;;;;;;;;;;;;;;;;;;
11;5;6;Female;Fertile;True;False;RIO PRIM;LatinAm;Brazil;19741006; ;19800118; ;Other;;;RIO PRIM;60;;LatinAm;Brazil;;;;;;2;0;;                                                                                       ;
MOVE: 11;19741006; ;Birth  ;19800118; ;death  ;;;;;;;;;;;;;;;;;;;;;;;;;
12;1;2;Male;Fertile;True;False;RIO PRIM;LatinAm;Brazil;19751005; ;19821029; ;Other;;;RIO PRIM;101;;LatinAm;Brazil;;;;;;2;2;1 2;                                                                                     ;
MOVE: 12;19751005; ;Birth  ;19821029; ;death  ;;;;;;;;;;;;;;;;;;;;;;;;;
13;1;2;Male;Fertile;True;False;RIO PRIM;LatinAm;Brazil;19751005; ;19830901; ;Other;;;RIO PRIM;102;;LatinAm;Brazil;;;;;;2;6;2 2 2 1 1 1;                                                                             ;
MOVE: 13;19751005; ;Birth  ;19830901; ;death  ;;;;;;;;;;;;;;;;;;;;;;;;;
14;5;6;Female;Fertile;True;False;RIO PRIM;LatinAm;Brazil;19751009; ;19890713; ;Other;;;RIO PRIM;103;;LatinAm;Brazil;;;;22;;2;2;1 2;                                                                                 ;
MOVE: 14;19751009; ;Birth  ;19890713; ;death  ;;;;;;;;;;;;;;;;;;;;;;;;;
15;5;6;Male;Fertile;True;False;RIO PRIM;LatinAm;Brazil;19751009; ;19791105; ;Other;;;RIO PRIM;104;;LatinAm;Brazil;;;;;;2;0;;                                                                                        ;
MOVE: 15;19751009; ;Birth  ;19791105; ;death  ;;;;;;;;;;;;;;;;;;;;;;;;;
16;3;4;Male;Fertile;True;False;RIO PRIM;LatinAm;Brazil;19751108; ;19920505; ;Other;;;RIO PRIM;114;;LatinAm;Brazil;;;;23;;1;1;2;                                                                                     ;
MOVE: 16;19751108; ;Birth  ;19920505; ;death  ;;;;;;;;;;;;;;;;;;;;;;;;;
17;1;2;Male;Fertile;True;False;RIO PRIM;LatinAm;Brazil;19760919; ;19791019; ;Other;;;RIO PRIM;145;;LatinAm;Brazil;;;;;;2;0;;                                                                                        ;
MOVE: 17;19760919; ;Birth  ;19791019; ;death  ;;;;;;;;;;;;;;;;;;;;;;;;;
18;1;2;Female;Fertile;True;False;RIO PRIM;LatinAm;Brazil;19760919; ;19920407; ;Other;;;RIO PRIM;146;;LatinAm;Brazil;;;;24;;2;1;2;                                                                                   ;
MOVE: 18;19760919; ;Birth  ;19920407; ;death  ;;;;;;;;;;;;;;;;;;;;;;;;;
19;5;6;Female;Fertile;True;False;RIO PRIM;LatinAm;Brazil;19761019; ;19860325; ;Other;;;RIO PRIM;150;;LatinAm;Brazil;;;;;;2;9;2 2 2 1 1 1 2 1 1;                                                                     ;
MOVE: 19;19761019; ;Birth  ;19860325; ;death  ;;;;;;;;;;;;;;;;;;;;;;;;;
20;5;6;Female;Fertile;True;False;RIO PRIM;LatinAm;Brazil;19761019; ;19840509; ;Other;;;RIO PRIM;151;;LatinAm;Brazil;;;;;;2;5;2 3 2 3 2;                                                                             ;
MOVE: 20;19761019; ;Birth  ;19840509; ;death  ;;;;;;;;;;;;;;;;;;;;;;;;;
21;1;2;Male;Fertile;True;False;RIO PRIM;LatinAm;Brazil;19770222; ;19781014; ;Other;;;RIO PRIM;162;;LatinAm;Brazil;;;;;;2;0;;                                                                                        ;
MOVE: 21;19770222; ;Birth  ;19781014; ;death  ;;;;;;;;;;;;;;;;;;;;;;;;;
22;1;2;Female;Fertile;True;False;RIO PRIM;LatinAm;Brazil;19770222; ;19780126; ;Other;;;RIO PRIM;163;;LatinAm;Brazil;;;;;;2;0;;                                                                                      ;
MOVE: 22;19770222; ;Birth  ;19780126; ;death  ;;;;;;;;;;;;;;;;;;;;;;;;;
23;1;2;Male;Fertile;True;False;RIO PRIM;LatinAm;Brazil;19771019; ;19851027; ;Other;;;RIO PRIM;179;;LatinAm;Brazil;;;;;;1;0;;                                                                                        ;
MOVE: 23;19771019; ;Birth  ;19851027; ;death  ;;;;;;;;;;;;;;;;;;;;;;;;;
24;1;2;Female;Fertile;True;False;RIO PRIM;LatinAm;Brazil;19780227; ;19780228; ;Other;;;RIO PRIM;195;;LatinAm;Brazil;;;;;;1;0;;                                                                                      ;
