ID,NAME,ABREVIATION,COUNTRY,STATE,CITY
1,Adelaide Zoological Gardens,ADELAIDE,Australia,South Australia,Adelaide
2,Zoologico de Bauru,BAURU ZOO,Brazil,São Paulo,Bauru
3,City of Belfast Zoo,BELFAST,North Ireland,Belfast,NA
4,Jardim Zoologico De Brasilia,BRASILIA,Brazil,Distrito Federal,Brasilia
5,Bristol Zoo,BRISTOL,England,Clifton,Bristol
6,Buri,BURI,Brazil,São Paulo,Buri
7,Central Park Wildlife Center,CENTRALPK,United States of America, New York, New York
8,North of England Zoo Society,CHESTER,England,NA,NA
9,Fort Worth Zoological Park,FORTWORTH,United States of America,Texas,NA
10,Durrell Wildlife Conservation Trust,JERSEY,United King,Channel Islands,NA
11,Krefelder Zoo,KREFELD,Germany,NA,NA
12,La Palmyre Zoo,LA PALMYR,France,Royan,NA
13,Jardim Zoologico de Lisboa,LISBON,Potugal ,Lisboa,NA
14,Morro do Diabo,M DIABO,Brazil,NA,NA
15,MIDDLE GOBI  ,M GOBI,Mongólia,NA,NA
16,Zoologischer Garten Magdeburg,MAGDEBURG,Gemany,Sachsen-anhalt,NA
17,The Wildlife Conservation Society,NY BRONX,United States of America, New York, New York
18,Private Collection,PRIVATE,Brazil,NA,NA
19,Prospect Park Wildlife Center,PROSPECTP,United States of America, New York, New York
20,Fazenda Ribeirão Bonito,R BONITO,Brazil,São Paulo ,NA
21,Centro Primatologia do Rio de Janeiro,RIO PRIM,Brazil,Rio de Janeiro,Rio de Janeiro
22,Parque Zoological de Sao Paulo,SAO PAULO,Brazil,São Paulo ,São Paulo 
23,Parque Zoológico Municipal Quinzinho de Barros,SOROCABA, Brazil, Sao Paulo, Sorocaba
24,Parque Ecologico de Sao Carlos,SAO CARLOS,Brazil, Sao Paulo,São Carlos
25,Unknown Location,UNKNOWN,Brazil,NA,NA
26,Brazil,BRAZIL,Brazil,NA,NA
27,WILD,WILD,Unknown,NA,NA
