ID,Location,LocalID,Sex,Alive,F (Imbreeding),IR (Internal relatedness),HL (Homozygosity by locus)
1,CPRJ,29,Male,0,0,,
2,CPRJ,30,Female,0,0,,
3,CPRJ,31,Male,0,0,,
4,CPRJ,32,Female,0,0,,
5,CPRJ,33,Male,0,0,,
6,CPRJ,34,Female,0,0,,
7,CPRJ,35,Female,0,0,,
8,CPRJ,53,Male,0,0,,
9,CPRJ,54,Female,0,0,,
10,CPRJ,59,Male,0,0,,
11,CPRJ,60,Female,0,0,,
12,CPRJ,101,Male,0,0,,
13,CPRJ,102,Male,0,0,,
14,CPRJ,103,Female,0,0,,
15,CPRJ,104,Male,0,0,,
16,CPRJ,114,Male,0,0,,
17,CPRJ,145,Male,0,0,,
18,CPRJ,146,Female,0,0,,
19,CPRJ,150,Female,0,0,,
20,CPRJ,151,Female,0,0,,
21,CPRJ,162,Male,0,0,,
22,CPRJ,163,Female,0,0,,
23,CPRJ,179,Male,0,0,,
24,CPRJ,195,Female,0,0,,
25,CPRJ,286,Female,0,0,,
26,CPRJ,210,Male,0,0,,
27,CPRJ,211,Male,0,0,,
28,CPRJ,227,Female,0,0,,
29,CPRJ,253,Male,0,0,,
30,CPRJ,254,Male,0,0,,
31,CPRJ,303,Male,0,0,,
32,CPRJ,304,Male,0,0,,
33,CPRJ,318,Male,0,0,,
34,CPRJ,330,Male,0,0,,
35,CPRJ,331,Female,0,0,,
36,CPRJ,354,Male,0,0,,
37,CPRJ,361,Male,0,0,,
38,CPRJ,362,Male,0,0,,
39,CPRJ,363,Female,0,0,,
40,CPRJ,364,Male,0,0,,
41,CPRJ,368,Unknown,0,0,,
42,CPRJ,374,Male,0,0,,
43,CPRJ,375,Male,0,0,,
44,CPRJ,402,Female,0,0,,
45,FPZSP,19818,Male,0,0,,
46,CPRJ,412,Unknown,0,0,,
47,CPRJ,410,Male,0,0,,
48,CPRJ,411,Female,0,0,,
49,CPRJ,445,Female,0,0,,
50,CPRJ,471,Male,0,0,,
51,CPRJ,504,Male,0,0,,
52,CPRJ,505,Female,0,0,,
53,CPRJ,506,Male,0,0,,
54,CPRJ,507,Male,0,"0,125",,
55,CPRJ,508,Female,0,"0,125",,
56,CPRJ,512,Female,0,"0,125",,
57,CPRJ,513,Female,0,"0,125",,
58,CPRJ,514,Male,0,"0,125",,
59,CPRJ,524,Male,0,0,,
60,CPRJ,525,Female,0,0,,
61,CPRJ,538,Unknown,0,"0,125",,
62,CPRJ,539,Female,0,"0,125",,
63,FPZSP,21436,Female,0,"0,125",,
64,CPRJ,543,Female,0,"0,125",,
65,CPRJ,544,Female,0,"0,125",,
66,CPRJ,547,Male,0,0,,
67,CPRJ,548,Female,0,0,,
68,CPRJ,609,Female,0,"0,125",,
69,CPRJ,616,Male,0,"0,063",,
70,FPZSP,21439,Female,0,"0,063",,
71,CPRJ,665,Male,0,"0,063",,
72,CPRJ,666,Female,0,"0,063",,
73,CPRJ,686,Male,0,0,,
74,CPRJ,687,Female,0,0,,
75,FPZSP,19817,Male,0,0,,
76,CPRJ,689,Female,0,0,,
77,CPRJ,690,Male,0,0,,
78,CPRJ,691,Female,0,0,,
