antes,depois
ADELAIDE,Adelaide Zoo
BAURU ZOO,Bauru Zoo
BELFAST,Belfast Zoo
BRASILIA,Brasilia Zoo
BRISTOL,Bristol Zoo
BURI,Buri Wild
CENTRALPK,Central Pk NY
CHESTER,Chester Zoo
FORTWORTH,Fortworth Zoo
JERSEY,Jersey Zoo
KREFELD,Krefelder Zoo
LA PALMYR,La Palmmyre Zoo
LISBON,Lisbon Zoo
M DIABO,PEMD Wild
M GOBI,M Gobi
MAGDEBURG,Magdeburg Zoo
NY BRONX,Bronx NY
PRIVATE,Private Collection
PROSPECTP,Prospect NY
R BONITO,FRBonito
RIO PRIM,CPRJ
SAO PAULO,FPZSP
SOROCABA,PZQB
SAO CARLOS,PESC
UNKNOWN,Unk 1
BRAZIL,Unk 2
WILD,Unk Wild
HORIZONTE,BH Zoo
